Entity;Year;Coal electricity per capita (kWh);Gas electricity per capita (kWh);Oil electricity per capita (kWh);Nuclear electricity per capita (kWh);Hydro electricity per capita (kWh);Wind electricity per capita (kWh);Solar electricity per capita (kWh);Bioenergy electricity per capita (kWh);Other renewable electricity excluding bioenergy per capita (kWh)
Africa;1985;251.08179;50.258884;61.721222;9.565322;88.99383;0;0;;
Africa;1986;248.54205;49.591812;65.047424;15.39937;89.47023;0;0;;
Africa;1987;258.85504;53.706978;65.779465;10.486668;83.418;0;0;;
Africa;1988;252.18498;56.259468;70.49143;17.357815;88.6558;0;0;;
Africa;1989;253.08878;59.46701;69.76838;17.867952;90.59741;0;0;;
Africa;1990;258.04523;66.82675;67.39185;13.239677;89.71868;0;0;;
Africa;1991;251.56595;69.63153;64.250374;13.959435;92.59191;0;0;;
Africa;1992;246.18631;75.222664;63.44333;13.822831;86.11035;0;0;;
Africa;1993;255.32806;80.0033;60.663372;10.52761;82.251045;0.002902167;0;;
Africa;1994;254.48915;87.901634;56.36974;13.725629;81.52439;0.007643436;0;;
Africa;1995;258.0113;91.55193;49.952477;15.601961;82.51586;0.008697669;0;;
Africa;1996;265.61725;94.231;50.310207;15.852926;83.89794;0.009558877;0;;
Africa;1997;270.67566;99.63483;50.674343;16.614014;83.88126;0.009458441;0;;
Africa;1998;258.6171;99.15332;55.258396;17.439228;85.46503;0.009744735;0;;
Africa;1999;250.02605;107.734375;56.217773;16.064331;88.45487;0.024777887;0;;
Africa;2000;237.60844;123.7801;41.870567;15.886149;90.99431;0.28084663;0;2.5520408;0.5250611
Africa;2001;237.29424;129.16574;41.31207;12.770051;96.7522;0.5479686;0;2.4658587;0.5717933
Africa;2002;238.3537;146.25644;38.379673;13.93195;96.91942;0.49964458;0.023239283;2.393646;0.453166
Africa;2003;249.2776;151.36858;38.590145;14.348055;92.57102;0.691336;0.022666754;2.1760082;0.89533675
Africa;2004;253.91763;165.59799;34.151886;15.782814;95.64739;0.8620865;0.022104783;2.3762643;1.1383963
Africa;2005;250.1459;172.9823;40.392353;13.191099;95.538475;0.8944945;0.021554084;3.0283487;1.0777042
Africa;2006;251.09782;181.02625;42.14384;10.580614;96.50739;0.91411465;0.031521194;2.7843723;1.0612136
Africa;2007;253.09746;185.27094;44.988964;12.903731;96.184006;1.2084447;0.03072317;2.6421926;1.0445877
Africa;2008;240.89265;189.47455;47.895092;12.724785;95.37102;1.287449;0.039920893;2.724601;1.1876466
Africa;2009;225.3257;187.93027;52.86907;11.252668;95.90542;1.6436483;0.058354374;2.8690903;1.3226992
Africa;2010;228.6413;224.1873;52.538124;12.22478;103.76848;2.2459478;0.36958638;3.0419803;1.3930563
Africa;2011;226.06947;221.59906;49.70092;11.951866;102.12657;2.253675;0.45258227;3.0941849;1.3946923
Africa;2012;217.67245;236.40672;53.78118;11.163151;100.05424;2.115597;0.47713464;2.9348283;1.431404
